Nama Stasiun ,WMO ID,Tanggal,Suhu Minimum (°C),Suhu Maksimum (°C),Suhu Rata-rata (°C),Kelembaban Rata-rata (%),Curah Hujan (mm),Lama Penyinaran (jam),Kecepatan Angin Rata-rata (knot),Kecepatan Angin Terbesar (knot)
Stasiun Meteorologi Perak I,96933,08/06/1999,24.4,33,28.7,75,0,0.6,3,7
Stasiun Meteorologi Perak I,96933,09/06/1999,24.2,33.4,28.8,69,0,0.6,3,6
Stasiun Meteorologi Perak I,96933,10/06/1999,24.4,33.2,28.4,72,0,0.6,2,6
Stasiun Meteorologi Perak I,96933,11/06/1999,24.4,32.5,27.9,73,0,0.6,3,9
Stasiun Meteorologi Perak I,96933,12/06/1999,23.6,33,28.1,73,0,0.6,2,5
Stasiun Meteorologi Perak I,96933,13/06/1999,24,32.4,27.2,74,0,0.6,3,7
Stasiun Meteorologi Perak I,96933,14/06/1999,24.3,33.4,28,72,0,0.6,3,6
Stasiun Meteorologi Perak I,96933,15/06/1999,24,32.6,28.2,77,0,0.6,2,4
Stasiun Meteorologi Perak I,96933,16/06/1999,24.6,33.2,27.7,76,0,0.6,2,5
Stasiun Meteorologi Perak I,96933,17/06/1999,24,32.4,27.9,75,0,0.6,3,8
Stasiun Meteorologi Perak I,96933,18/06/1999,23,33.4,27.7,71,0,0.6,2,6
Stasiun Meteorologi Perak I,96933,19/06/1999,23.2,33,27.2,73,0,0.6,3,8
Stasiun Meteorologi Perak I,96933,20/06/1999,24.4,33.8,28.1,74,0,0.6,2,5
Stasiun Meteorologi Perak I,96933,21/06/1999,25,33,28,76,0.3,0.6,3,6
Stasiun Meteorologi Perak I,96933,22/06/1999,24.2,31.9,27.8,79,0,0.6,3,6
Stasiun Meteorologi Perak I,96933,23/06/1999,23.3,32.5,27.7,74,0,0.6,3,10
Stasiun Meteorologi Perak I,96933,24/06/1999,22.3,32.3,27.6,70,0,0.6,2,5
Stasiun Meteorologi Perak I,96933,25/06/1999,22.7,31.6,26.6,74,0,0.6,3,5
Stasiun Meteorologi Perak I,96933,26/06/1999,23.4,32.8,27.3,74,0,0.6,2,5
Stasiun Meteorologi Perak I,96933,27/06/1999,24,32.4,27.1,74,0,0.6,2,7
Stasiun Meteorologi Perak I,96933,28/06/1999,23,32.2,27.5,74,0,0.6,3,6
Stasiun Meteorologi Perak I,96933,29/06/1999,23,32.2,27.1,74,0,0,4,8
Stasiun Meteorologi Perak I,96933,30/06/1999,22.4,31.8,26.9,71,0,0,3,7
Stasiun Meteorologi Perak I,96933,01/07/1999,22,31.8,26.6,70,0,0.6,3,5
Stasiun Meteorologi Perak I,96933,02/07/1999,24.3,32.2,27,70,6,0.6,2,6
Stasiun Meteorologi Perak I,96933,03/07/1999,24.6,31.4,27.9,76,6,0.4,3,6
Stasiun Meteorologi Perak I,96933,04/07/1999,24.4,30.8,27.5,76,3.5,0.3,3,5
Stasiun Meteorologi Perak I,96933,05/07/1999,22.5,32.6,27.4,71,25,0.3,3,6
Stasiun Meteorologi Perak I,96933,06/07/1999,23.3,30.8,26.4,75,0,0.2,3,7
Stasiun Meteorologi Perak I,96933,07/07/1999,22,31.4,26.8,74,0,0.6,3,4
Stasiun Meteorologi Perak I,96933,08/07/1999,21.9,32.6,26.4,76,0,0.6,3,7
Stasiun Meteorologi Perak I,96933,09/07/1999,23,32.4,26.7,72,0,0.6,3,6
Stasiun Meteorologi Perak I,96933,10/07/1999,23.6,31.8,26.6,74,0.4,0.6,3,6
Stasiun Meteorologi Perak I,96933,11/07/1999,23,32,27.1,72,0,0.6,4,9
Stasiun Meteorologi Perak I,96933,12/07/1999,23,32.4,27.1,74,0,0.6,3,5
Stasiun Meteorologi Perak I,96933,13/07/1999,23.2,32.2,27.2,74,0,0.6,3,8
Stasiun Meteorologi Perak I,96933,14/07/1999,22.2,31.6,26.6,73,0,0.6,3,6
Stasiun Meteorologi Perak I,96933,15/07/1999,22.6,32.2,26.3,77,0,0.6,3,4
Stasiun Meteorologi Perak I,96933,16/07/1999,22.4,32,26.6,76,0,0.6,3,5
Stasiun Meteorologi Perak I,96933,17/07/1999,22.2,31.2,26.6,79,0,0.6,4,8
Stasiun Meteorologi Perak I,96933,18/07/1999,21.5,30.8,25.5,74,0,0.4,4,6
Stasiun Meteorologi Perak I,96933,19/07/1999,21.4,31,26.2,72,0,0.6,4,8
Stasiun Meteorologi Perak I,96933,20/07/1999,21.2,31.5,25.7,76,0,0.5,3,5
Stasiun Meteorologi Perak I,96933,21/07/1999,21.4,31.8,26,78,0,0.6,3,6
Stasiun Meteorologi Perak I,96933,22/07/1999,22,31.8,25.9,79,0,0.6,4,6
Stasiun Meteorologi Perak I,96933,23/07/1999,24.2,32.2,27,76,4.8,0.6,4,10
Stasiun Meteorologi Perak I,96933,24/07/1999,23.7,31.5,27.1,72,0,0.5,3,5
Stasiun Meteorologi Perak I,96933,25/07/1999,24,31.4,27.1,75,0,0.6,3,5
Stasiun Meteorologi Perak I,96933,26/07/1999,22.4,31.6,26.9,74,0,0.6,3,5
Stasiun Meteorologi Perak I,96933,27/07/1999,22,32.2,26.6,75,0,0.6,4,7
Stasiun Meteorologi Perak I,96933,28/07/1999,22.2,33,26.5,78,0,0.6,3,6
Stasiun Meteorologi Perak I,96933,29/07/1999,22.2,32.2,26.4,73,0,0.6,4,8
Stasiun Meteorologi Perak I,96933,30/07/1999,22,31.4,26.4,71,0,0.6,4,7
Stasiun Meteorologi Perak I,96933,31/07/1999,22.4,32,26.1,71,0,0.6,3,6
Stasiun Meteorologi Perak I,96933,01/08/1999,23.4,32.5,27.6,73,0,0.6,4,8
Stasiun Meteorologi Perak I,96933,02/08/1999,22.8,32,27.3,72,6,0.6,3,7
Stasiun Meteorologi Perak I,96933,03/08/1999,22,32.2,27.4,69,6,0.4,3,5
Stasiun Meteorologi Perak I,96933,04/08/1999,21.8,32.2,26.6,70,3.5,0.3,3,6
Stasiun Meteorologi Perak I,96933,05/08/1999,21.6,32.1,26.3,68,25,0.3,2,5
Stasiun Meteorologi Perak I,96933,06/08/1999,21.8,32.3,26.4,72,0,0.2,2,6
Stasiun Meteorologi Perak I,96933,07/08/1999,22,31.7,27,68,0,0.6,3,7
Stasiun Meteorologi Perak I,96933,08/08/1999,22.8,32.6,26.7,76,0,0.6,2,5
Stasiun Meteorologi Perak I,96933,09/08/1999,24,33.2,27.7,74,0,0.6,3,6
Stasiun Meteorologi Perak I,96933,10/08/1999,26,32.5,28.5,72,0.4,0.6,4,7
Stasiun Meteorologi Perak I,96933,11/08/1999,24,32.2,28.6,70,0,0.6,3,7
Stasiun Meteorologi Perak I,96933,12/08/1999,23.5,31.6,27.8,75,0,0.6,5,8
Stasiun Meteorologi Perak I,96933,13/08/1999,24.3,31.9,27.4,73,0,0.6,5,10
Stasiun Meteorologi Perak I,96933,14/08/1999,24.8,32.5,28.3,70,0,0.6,5,11
Stasiun Meteorologi Perak I,96933,15/08/1999,23.2,32,27.7,73,0,0.6,4,9
Stasiun Meteorologi Perak I,96933,16/08/1999,22,32.5,27.4,70,0,0.6,3,6
Stasiun Meteorologi Perak I,96933,17/08/1999,20.6,32.4,26.7,64,0,0.6,3,9
Stasiun Meteorologi Perak I,96933,18/08/1999,20.8,31.6,25.9,66,0,0.4,3,6
Stasiun Meteorologi Perak I,96933,19/08/1999,20.8,31.8,26,66,0,0.6,3,7
Stasiun Meteorologi Perak I,96933,20/08/1999,21,32.5,26.2,62,0,0.5,2,6
Stasiun Meteorologi Perak I,96933,21/08/1999,21.7,32.2,26.2,70,0,0.6,3,5
Stasiun Meteorologi Perak I,96933,22/08/1999,23,32.4,26.7,74,0,0.6,4,6
Stasiun Meteorologi Perak I,96933,23/08/1999,25.1,34.2,28.7,70,4.8,0.6,4,8
Stasiun Meteorologi Perak I,96933,24/08/1999,25.4,34,28.6,75,0,0.5,5,7
Stasiun Meteorologi Perak I,96933,25/08/1999,23.4,33.5,29.2,69,0,0.6,4,7
Stasiun Meteorologi Perak I,96933,26/08/1999,23.2,33.6,28.3,68,0,0.6,3,7
Stasiun Meteorologi Perak I,96933,27/08/1999,23.9,32.7,27.4,70,0,0.6,3,9
Stasiun Meteorologi Perak I,96933,28/08/1999,22.7,33.3,28,65,0,0.6,3,6
Stasiun Meteorologi Perak I,96933,29/08/1999,22.2,32.6,27.1,71,0,0.6,3,5
Stasiun Meteorologi Perak I,96933,30/08/1999,23.2,33.2,27.2,69,0,0.6,3,7
Stasiun Meteorologi Perak I,96933,31/08/1999,23,33,27.5,66,0,0.6,3,8
Stasiun Meteorologi Perak I,96933,01/09/1999,21.6,32.9,27.2,64,0,0.6,3,5
Stasiun Meteorologi Perak I,96933,02/09/1999,20.6,32.4,26.3,63,0,0.6,3,6
Stasiun Meteorologi Perak I,96933,03/09/1999,21,33.2,26.4,56,0,0.6,3,7
Stasiun Meteorologi Perak I,96933,04/09/1999,22.5,33,26.7,65,0,0.6,3,8
Stasiun Meteorologi Perak I,96933,05/09/1999,23.2,33.7,27.4,64,0,0.6,3,5
Stasiun Meteorologi Perak I,96933,06/09/1999,24,33.8,28.4,67,0,0.6,4,8
Stasiun Meteorologi Perak I,96933,07/09/1999,23.6,33.4,27.7,73,0,0.6,4,8
Stasiun Meteorologi Perak I,96933,08/09/1999,24.2,33.4,27.7,69,0,0.6,5,10
Stasiun Meteorologi Perak I,96933,09/09/1999,23.7,32.5,27.7,70,0,0.6,4,10
Stasiun Meteorologi Perak I,96933,10/09/1999,23,33.5,25.8,68,0,0.6,3,9
Stasiun Meteorologi Perak I,96933,11/09/1999,23.4,33.6,27.8,63,0,0.6,4,9
Stasiun Meteorologi Perak I,96933,12/09/1999,22.8,34,27.7,68,0,0.6,3,7
Stasiun Meteorologi Perak I,96933,13/09/1999,22,34.4,28.3,60,0,0.6,4,10
Stasiun Meteorologi Perak I,96933,14/09/1999,24.4,34.6,28,64,0,0.6,3,9
Stasiun Meteorologi Perak I,96933,15/09/1999,23.6,33.8,28.6,65,0,0.6,3,8
Stasiun Meteorologi Perak I,96933,16/09/1999,23.8,34,28.3,66,0,0.6,3,6
Stasiun Meteorologi Perak I,96933,17/09/1999,23,33.6,27.5,69,0,0.6,4,7
Stasiun Meteorologi Perak I,96933,18/09/1999,24.2,34.2,28.3,69,0,0.6,3,6
Stasiun Meteorologi Perak I,96933,19/09/1999,24,33.6,28.2,72,0,0.6,3,7
Stasiun Meteorologi Perak I,96933,20/09/1999,25,34.3,28.7,71,0,0.5,3,5
Stasiun Meteorologi Perak I,96933,21/09/1999,26.4,34.4,28.9,70,0,0.6,3,6
Stasiun Meteorologi Perak I,96933,22/09/1999,24.2,33.8,29.4,66,0,0.6,3,6
Stasiun Meteorologi Perak I,96933,23/09/1999,23.4,33.4,28.2,68,0,0.6,4,9
Stasiun Meteorologi Perak I,96933,24/09/1999,25.7,33.8,28.1,68,0,0.6,5,10
Stasiun Meteorologi Perak I,96933,25/09/1999,26.2,32.8,28.8,71,0,0.5,4,11
Stasiun Meteorologi Perak I,96933,26/09/1999,24.8,34,29.2,71,0,0.6,5,8
Stasiun Meteorologi Perak I,96933,27/09/1999,24.5,33.9,28.4,70,0,0.6,3,8
Stasiun Meteorologi Perak I,96933,28/09/1999,24.2,34.6,28.8,62,0,0.6,3,8
Stasiun Meteorologi Perak I,96933,29/09/1999,23.2,34,28.5,60,0,0.6,3,10
Stasiun Meteorologi Perak I,96933,30/09/1999,23.6,33.7,28,64,0,0.6,3,8
Stasiun Meteorologi Perak I,96933,01/10/1999,23.2,34,27.9,64,0,0.6,3,8
Stasiun Meteorologi Perak I,96933,02/10/1999,24.4,34.3,28,64,0,0.6,2,7
Stasiun Meteorologi Perak I,96933,03/10/1999,25.4,34.6,29.4,66,0,0.6,3,8
Stasiun Meteorologi Perak I,96933,04/10/1999,25.4,34.3,29.5,66,0,0.6,2,6
Stasiun Meteorologi Perak I,96933,05/10/1999,25.2,35,29.5,65,0,0.6,3,7
Stasiun Meteorologi Perak I,96933,06/10/1999,25.4,34.6,28.7,68,0,0.6,3,9
Stasiun Meteorologi Perak I,96933,07/10/1999,25.3,35.2,29.7,67,0,0.6,4,9
Stasiun Meteorologi Perak I,96933,08/10/1999,25.2,35.4,29.7,64,0,0.6,4,8
Stasiun Meteorologi Perak I,96933,09/10/1999,25.2,35.9,29.2,68,0,0.5,2,8
Stasiun Meteorologi Perak I,96933,10/10/1999,25.3,35,29,70,0,0.6,2,6
Stasiun Meteorologi Perak I,96933,11/10/1999,25,32.4,28.1,73,0.5,0.2,3,5
Stasiun Meteorologi Perak I,96933,12/10/1999,24.9,33,28.4,77,0.4,0.3,2,6
Stasiun Meteorologi Perak I,96933,13/10/1999,25.4,34,28.7,75,8,0.6,2,6
Stasiun Meteorologi Perak I,96933,14/10/1999,24.7,33.2,27.2,81,8.2,0.2,2,4
Stasiun Meteorologi Perak I,96933,15/10/1999,25.5,34.4,28.7,76,0,0.4,3,7
Stasiun Meteorologi Perak I,96933,16/10/1999,24.4,34.4,29.2,72,0,0.4,3,6
Stasiun Meteorologi Perak I,96933,17/10/1999,25,34.4,29.7,66,0,0.3,3,6
Stasiun Meteorologi Perak I,96933,18/10/1999,24.6,35.4,29.8,64,0,0.6,3,8
Stasiun Meteorologi Perak I,96933,19/10/1999,26.3,35.3,29.7,66,0,0.6,3,6
Stasiun Meteorologi Perak I,96933,20/10/1999,24.2,34.6,29.2,69,0,0.2,2,4
Stasiun Meteorologi Perak I,96933,21/10/1999,25.4,32.4,25.2,75,0,0.2,3,5
Stasiun Meteorologi Perak I,96933,22/10/1999,25.7,34.2,28.9,68,0,0.6,3,5
Stasiun Meteorologi Perak I,96933,23/10/1999,25.7,34.7,29.5,67,1.4,0.4,2,6
Stasiun Meteorologi Perak I,96933,24/10/1999,25,34.5,29.3,70,1,0.5,2,5
Stasiun Meteorologi Perak I,96933,25/10/1999,25.3,30.6,27.1,81,0.2,0,2,4
Stasiun Meteorologi Perak I,96933,26/10/1999,26.4,32.6,28.2,75,5,0.3,3,4
Stasiun Meteorologi Perak I,96933,27/10/1999,24.6,34,28.3,80,0,0.4,2,5
Stasiun Meteorologi Perak I,96933,28/10/1999,25.2,35.6,29.6,70,0,0.6,2,6
Stasiun Meteorologi Perak I,96933,29/10/1999,25.3,34,28.8,76,0,0.3,2,5
Stasiun Meteorologi Perak I,96933,30/10/1999,23.8,33.8,28.3,77,14,0.4,2,7
Stasiun Meteorologi Perak I,96933,31/10/1999,23.2,34.6,26.7,93,43.6,0.4,2,3
Stasiun Meteorologi Perak I,96933,01/11/1999,24.6,33.6,27.7,83,1.2,0.1,2,5
Stasiun Meteorologi Perak I,96933,02/11/1999,25,33.6,27.4,84,0,0.3,2,4
Stasiun Meteorologi Perak I,96933,03/11/1999,24,32.4,26.3,90,7.2,0,2,4
Stasiun Meteorologi Perak I,96933,04/11/1999,24.6,31.2,27,80,0,0.2,3,7
Stasiun Meteorologi Perak I,96933,05/11/1999,24,33.2,27.5,84,54.2,0,2,8
Stasiun Meteorologi Perak I,96933,06/11/1999,24.6,30.8,26.9,82,0,0,2,9
Stasiun Meteorologi Perak I,96933,07/11/1999,25,30.4,26.8,80,0,0.6,2,5
Stasiun Meteorologi Perak I,96933,08/11/1999,24,32.3,27.4,80,19.4,0,2,7
Stasiun Meteorologi Perak I,96933,09/11/1999,25.5,33.7,27.2,82,0,0.1,1,4
Stasiun Meteorologi Perak I,96933,10/11/1999,23.8,32,28.3,80,30,0,2,4
Stasiun Meteorologi Perak I,96933,11/11/1999,25.4,33.1,28.1,81,0,0.6,1,4
Stasiun Meteorologi Perak I,96933,12/11/1999,26.2,34.2,29.2,78,0,0.3,2,3
Stasiun Meteorologi Perak I,96933,13/11/1999,25.6,32.8,28.7,78,2.7,0.4,2,4
Stasiun Meteorologi Perak I,96933,14/11/1999,25.3,34.2,29,78,0.2,0.5,1,5
Stasiun Meteorologi Perak I,96933,15/11/1999,24.6,34.2,28.7,78,0,0.2,2,3
Stasiun Meteorologi Perak I,96933,16/11/1999,24,31.4,26.8,84,12.9,0.2,2,5
Stasiun Meteorologi Perak I,96933,17/11/1999,24.2,33,27.4,82,0,0.1,2,5
Stasiun Meteorologi Perak I,96933,18/11/1999,23.7,32.7,27,83,14.9,0.3,2,5
Stasiun Meteorologi Perak I,96933,19/11/1999,23.8,33,26.8,83,9.2,0.6,2,4
Stasiun Meteorologi Perak I,96933,20/11/1999,25,33.2,28.9,74,0,0,2,4
Stasiun Meteorologi Perak I,96933,21/11/1999,25.2,33.6,28.7,78,0,0.5,2,4
Stasiun Meteorologi Perak I,96933,22/11/1999,23.2,33,28.3,79,0,0.4,2,4
Stasiun Meteorologi Perak I,96933,23/11/1999,25.3,33.3,28.7,77,0.1,0.4,2,5
Stasiun Meteorologi Perak I,96933,24/11/1999,24.8,34.2,28.9,71,0,0.5,1,3
Stasiun Meteorologi Perak I,96933,25/11/1999,25.2,33.6,28.2,78,20.9,0.2,2,5
Stasiun Meteorologi Perak I,96933,26/11/1999,25.2,32.6,28.4,80,5.2,0.6,2,4
Stasiun Meteorologi Perak I,96933,27/11/1999,25.1,33.6,28.5,80,0.3,0.6,2,5
Stasiun Meteorologi Perak I,96933,28/11/1999,24.7,33.8,29.1,73,0,0.6,2,6
Stasiun Meteorologi Perak I,96933,29/11/1999,25,34.6,29.3,73,0,0.5,2,5
Stasiun Meteorologi Perak I,96933,30/11/1999,25.2,33.8,29.2,72,2.8,0,2,5
Stasiun Meteorologi Perak I,96933,01/12/1999,25.4,34.2,30.1,69,0,0.3,2,3
Stasiun Meteorologi Perak I,96933,02/12/1999,25.4,33.2,28.6,72,7.7,0.3,1,4
Stasiun Meteorologi Perak I,96933,03/12/1999,24.2,33.7,28.7,79,34.7,0.3,2,4
Stasiun Meteorologi Perak I,96933,04/12/1999,25.5,33.8,28.5,80,0,0.2,2,4
Stasiun Meteorologi Perak I,96933,05/12/1999,25,32.4,27.5,84,0.7,0.2,1,6
Stasiun Meteorologi Perak I,96933,06/12/1999,25,33.4,27.7,80,8.4,0,2,5
Stasiun Meteorologi Perak I,96933,07/12/1999,24.2,33.6,27.5,80,27.5,0,2,5
Stasiun Meteorologi Perak I,96933,08/12/1999,24,33,26.9,88,10,0.4,3,11
Stasiun Meteorologi Perak I,96933,09/12/1999,24.5,33.2,26.2,92,8.8,0.2,2,5
Stasiun Meteorologi Perak I,96933,10/12/1999,24.5,33.2,27.7,81,9.9,0.3,4,8
Stasiun Meteorologi Perak I,96933,11/12/1999,25.2,31.8,27.7,80,7.9,0.1,3,7
Stasiun Meteorologi Perak I,96933,12/12/1999,25,32.8,27.9,82,2,0.2,2,4
Stasiun Meteorologi Perak I,96933,13/12/1999,25.2,31.8,28,81,0,0.4,3,9
Stasiun Meteorologi Perak I,96933,14/12/1999,23.2,29.2,26.9,87,4.8,0,3,10
Stasiun Meteorologi Perak I,96933,15/12/1999,25.2,32.8,28.1,82,0,0.3,4,7
Stasiun Meteorologi Perak I,96933,16/12/1999,25.4,34.3,29.1,72,0.2,0.4,4,5
Stasiun Meteorologi Perak I,96933,17/12/1999,26,32.6,28.8,74,0,0.2,2,7
Stasiun Meteorologi Perak I,96933,18/12/1999,25.7,31.6,28,82,9.4,0,1,4
Stasiun Meteorologi Perak I,96933,19/12/1999,24,32.3,28.1,82,20.6,0.2,1,5
Stasiun Meteorologi Perak I,96933,20/12/1999,24.2,29.4,26.8,91,16.4,0,2,5
Stasiun Meteorologi Perak I,96933,21/12/1999,24,32.5,27.2,85,0,0.1,1,4
Stasiun Meteorologi Perak I,96933,22/12/1999,23.8,33.2,27.2,84,37.1,0.4,2,8
Stasiun Meteorologi Perak I,96933,23/12/1999,24.1,32.6,27.2,74,0,0.5,1,3
Stasiun Meteorologi Perak I,96933,24/12/1999,24.8,29.6,26,91,32.2,0,2,4
Stasiun Meteorologi Perak I,96933,25/12/1999,24.4,32.8,27.2,80,1.5,0.4,6,14
Stasiun Meteorologi Perak I,96933,26/12/1999,23.7,30.4,26.7,83,7,0,4,6
Stasiun Meteorologi Perak I,96933,27/12/1999,24.5,31,26.8,82,0,0.2,5,9
Stasiun Meteorologi Perak I,96933,28/12/1999,24.7,32.8,28.1,78,3.4,0.5,3,7
Stasiun Meteorologi Perak I,96933,29/12/1999,25.7,34,28.3,79,0,0.6,2,6
Stasiun Meteorologi Perak I,96933,30/12/1999,25,33.4,29.6,76,7.2,0.6,3,6
Stasiun Meteorologi Perak I,96933,31/12/1999,23.8,34,26.7,83,60,0.6,3,8
Stasiun Meteorologi Perak I,96933,01/01/2000,25.4,34.3,27.8,83,0,0.6,2,4
Stasiun Meteorologi Perak I,96933,02/01/2000,23,32,26.7,88,40,0.2,3,5
Stasiun Meteorologi Perak I,96933,03/01/2000,23.4,31,26.2,84,0,0.1,2,5
Stasiun Meteorologi Perak I,96933,04/01/2000,25.6,32.6,28.5,78,0,0.4,2,5
Stasiun Meteorologi Perak I,96933,05/01/2000,25.3,33.3,28.9,76,0,0.5,2,5
Stasiun Meteorologi Perak I,96933,06/01/2000,24.8,33.8,27.9,79,4.6,0.5,4,10
Stasiun Meteorologi Perak I,96933,07/01/2000,23.7,33.2,26.6,86,28.8,0.5,2,5
Stasiun Meteorologi Perak I,96933,08/01/2000,23.8,29,25.3,92,0.7,0,2,4
Stasiun Meteorologi Perak I,96933,09/01/2000,24,33.2,27.2,78,19.7,0.5,3,8
Stasiun Meteorologi Perak I,96933,10/01/2000,24.2,33.2,27.9,81,39.3,0.4,3,8
Stasiun Meteorologi Perak I,96933,11/01/2000,24,31.6,26.8,84,23.5,0,2,6
Stasiun Meteorologi Perak I,96933,12/01/2000,22.8,30.8,25.6,89,44.8,0,2,5
Stasiun Meteorologi Perak I,96933,13/01/2000,24.8,33.2,27.6,79,0,0.6,3,6
Stasiun Meteorologi Perak I,96933,14/01/2000,23.5,34,29.1,71,56.2,0.6,3,6
Stasiun Meteorologi Perak I,96933,15/01/2000,24,33.8,28,76,16.3,0.5,3,10
Stasiun Meteorologi Perak I,96933,16/01/2000,24.7,31,27.5,87,0.1,0.1,2,3
Stasiun Meteorologi Perak I,96933,17/01/2000,23.8,32,27.3,82,9,0.3,1,4
Stasiun Meteorologi Perak I,96933,18/01/2000,24.3,30.2,26.4,84,0.1,0.1,3,9
Stasiun Meteorologi Perak I,96933,19/01/2000,24,30.8,26,86,13.4,0.1,3,7
Stasiun Meteorologi Perak I,96933,20/01/2000,25,32.3,27,84,0,0.1,3,6
Stasiun Meteorologi Perak I,96933,21/01/2000,24,31.4,27.6,80,0,0.2,4,6
Stasiun Meteorologi Perak I,96933,22/01/2000,24.6,32.9,27.2,82,51.1,0.2,3,10
Stasiun Meteorologi Perak I,96933,23/01/2000,24,32,26.9,86,33,0.5,3,6
Stasiun Meteorologi Perak I,96933,24/01/2000,24.4,30.6,26.1,87,0.8,0.1,3,8
Stasiun Meteorologi Perak I,96933,25/01/2000,24.6,30.9,27.1,87,13.9,0.2,3,6
Stasiun Meteorologi Perak I,96933,26/01/2000,24.8,30,26.4,88,3.9,0.6,3,9
Stasiun Meteorologi Perak I,96933,27/01/2000,24,30.2,26.8,86,10.4,0.1,3,10
Stasiun Meteorologi Perak I,96933,28/01/2000,24,29.8,25.9,89,10,0.1,2,4
Stasiun Meteorologi Perak I,96933,29/01/2000,24,32.4,26.8,86,8,0.2,2,5
Stasiun Meteorologi Perak I,96933,30/01/2000,23.2,31.4,26,91,45.7,0.3,2,4
Stasiun Meteorologi Perak I,96933,31/01/2000,24,31.7,27.2,84,0.7,0.3,3,8
Stasiun Meteorologi Perak I,96933,01/02/2000,24,30.8,26.5,84,48.8,0.1,3,4
Stasiun Meteorologi Perak I,96933,02/02/2000,23.8,32.2,27.1,82,0,0.3,4,5
Stasiun Meteorologi Perak I,96933,03/02/2000,24.2,31.2,27.5,80,0,0,4,8
Stasiun Meteorologi Perak I,96933,04/02/2000,24.8,32,27.7,82,0,0.1,4,8
Stasiun Meteorologi Perak I,96933,05/02/2000,25.2,32.8,28.1,78,0.3,0.3,3,5
Stasiun Meteorologi Perak I,96933,06/02/2000,25.2,32.8,27.6,81,0.3,0.2,3,4
Stasiun Meteorologi Perak I,96933,07/02/2000,23.2,30,26,88,36.2,0.6,3,5
Stasiun Meteorologi Perak I,96933,08/02/2000,24,31.6,26.7,86,44.1,0.2,2,5
Stasiun Meteorologi Perak I,96933,09/02/2000,24,30.1,25.7,90,18.1,0.6,3,5
Stasiun Meteorologi Perak I,96933,10/02/2000,24.2,29.6,26,88,1.3,0.6,3,5
Stasiun Meteorologi Perak I,96933,11/02/2000,25,32,27.8,79,0,0.4,3,7
Stasiun Meteorologi Perak I,96933,12/02/2000,24.4,32.6,28,80,3,0.3,3,6
Stasiun Meteorologi Perak I,96933,13/02/2000,24.6,31.8,27.5,82,0,0.2,2,3
Stasiun Meteorologi Perak I,96933,14/02/2000,23.2,32,27.2,84,0.6,0.2,2,7
Stasiun Meteorologi Perak I,96933,15/02/2000,23.8,30.8,26.6,84,0,0.6,2,5
Stasiun Meteorologi Perak I,96933,16/02/2000,24,32.6,27.8,80,0,0.6,3,8
Stasiun Meteorologi Perak I,96933,17/02/2000,25.9,32.8,28.4,80,0,0.5,3,8
Stasiun Meteorologi Perak I,96933,18/02/2000,24.3,31.8,27.1,86,55.3,0.2,2,4
Stasiun Meteorologi Perak I,96933,19/02/2000,24.8,32.2,27.5,84,0,0.4,3,6
Stasiun Meteorologi Perak I,96933,20/02/2000,24.2,31.6,27.3,81,6.8,0.4,3,7
Stasiun Meteorologi Perak I,96933,21/02/2000,25.3,32.2,27.3,83,0,0.3,2,7
Stasiun Meteorologi Perak I,96933,22/02/2000,24.6,31.8,28,82,0,0.2,2,5
Stasiun Meteorologi Perak I,96933,23/02/2000,24.3,33,26.6,86,26,0.3,3,15
Stasiun Meteorologi Perak I,96933,24/02/2000,24.2,32.4,26.8,86,11,0.4,2,5
Stasiun Meteorologi Perak I,96933,25/02/2000,24.7,32.4,26.2,88,15.4,0,2,6
Stasiun Meteorologi Perak I,96933,26/02/2000,24.4,31.6,27.2,82,0,0,4,9
Stasiun Meteorologi Perak I,96933,27/02/2000,24.7,32.4,27.7,77,0,0.6,2,4
Stasiun Meteorologi Perak I,96933,28/02/2000,25.5,32.2,27.5,83,0,0.2,6,7
Stasiun Meteorologi Perak I,96933,29/02/2000,25.8,31.8,28.1,80,1,0.2,3,7
Stasiun Meteorologi Perak I,96933,01/03/2000,26,32.2,28.2,78,0,0.2,4,7
Stasiun Meteorologi Perak I,96933,02/03/2000,24,29.5,27.1,84,16,0,2,7
Stasiun Meteorologi Perak I,96933,03/03/2000,24.6,31.6,26.4,87,0,0.2,4,15
Stasiun Meteorologi Perak I,96933,04/03/2000,24.6,30.4,26.1,87,15.3,0.2,3,8
Stasiun Meteorologi Perak I,96933,05/03/2000,25.2,33,27.7,82,1.2,0.4,4,10
Stasiun Meteorologi Perak I,96933,06/03/2000,25.3,33,27.7,82,0.1,0.2,5,8
Stasiun Meteorologi Perak I,96933,07/03/2000,25.2,32.9,27.9,81,0,0.3,2,9
Stasiun Meteorologi Perak I,96933,08/03/2000,25,31.7,27.7,83,2.8,0.3,2,8
Stasiun Meteorologi Perak I,96933,09/03/2000,24.5,31.7,27.9,82,0,0.3,3,6
Stasiun Meteorologi Perak I,96933,10/03/2000,25,33.4,28,77,0,0.4,3,5
Stasiun Meteorologi Perak I,96933,11/03/2000,24.6,33.2,28.1,82,28.3,0,2,7
Stasiun Meteorologi Perak I,96933,12/03/2000,23.8,32,27.3,86,34,0.2,2,4
Stasiun Meteorologi Perak I,96933,13/03/2000,23.6,32,26.7,86,4.2,0.2,4,8
Stasiun Meteorologi Perak I,96933,14/03/2000,24.8,32.9,28,80,0.3,0.3,4,7
