Nama Stasiun ,WMO ID,Tanggal,Suhu Minimum,Suhu Maksimum,Suhu Rata-rata,Kelembaban Rata-rata,Curah Hujan,Lama Penyinaran,Kecepatan Angin Rata-rata,Kecepatan Angin Terbesar,NINO12,NINO3,NINO3.4,NINO4
Stasiun Meteorologi Perak I,96933,07/04/1987,25,32.4,29,76,3.7,6.6,2,4,1.327875,0.7373352,0.6229457,0.3651639
Stasiun Meteorologi Perak I,96933,08/04/1987,24,33.6,28.8,76,27.9,8,3,4,1.305031,0.7287318,0.5987179,0.3504741
Stasiun Meteorologi Perak I,96933,09/04/1987,24.5,32.5,27.6,81,0,7,3,6,1.322209,0.674306,0.5429127,0.4038083
Stasiun Meteorologi Perak I,96933,10/04/1987,25,32.4,28.1,79,0,5,2,7,1.038292,0.7414716,0.5727988,0.4862286
Stasiun Meteorologi Perak I,96933,11/04/1987,25.6,34,28.8,77,0,8,2,4,1.087822,0.8353747,0.6136444,0.4531782
Stasiun Meteorologi Perak I,96933,12/04/1987,23.4,33.6,28.8,78,0,8,3,4,1.122989,1.096504,0.753757,0.3957559
Stasiun Meteorologi Perak I,96933,13/04/1987,24.5,32.8,27.8,77,0,8,2,4,1.214162,1.108472,0.7169808,0.3704257
Stasiun Meteorologi Perak I,96933,14/04/1987,24.4,33.4,28.6,74,21.3,6.4,3,3,1.242484,0.9443406,0.6794259,0.4484038
Stasiun Meteorologi Perak I,96933,15/04/1987,25.5,32.6,27.6,82,0,5.6,2,3,1.276575,0.9061565,0.6358148,0.4305436
Stasiun Meteorologi Perak I,96933,16/04/1987,24.5,32.2,28.1,80,0.4,4.4,3,3,1.228233,0.9052239,0.6233979,0.4333531
Stasiun Meteorologi Perak I,96933,17/04/1987,26.4,33,28.6,77,0,8,3,4,1.304289,0.8533349,0.6665781,0.4098196
Stasiun Meteorologi Perak I,96933,18/04/1987,25.5,33,29.3,78,0,7.5,3,6,1.298463,0.7739594,0.6409711,0.3322331
Stasiun Meteorologi Perak I,96933,19/04/1987,24.3,33,28.7,75,23,6.8,2,4,1.27052,0.7797694,0.6430742,0.2949139
Stasiun Meteorologi Perak I,96933,20/04/1987,24.5,31.4,27.9,84,3.5,4.7,3,4,1.253392,0.8081487,0.6610454,0.2599543
Stasiun Meteorologi Perak I,96933,21/04/1987,23.9,31.8,28.4,81,15.2,3.8,2,4,1.105273,0.8400655,0.6178342,0.2654568
Stasiun Meteorologi Perak I,96933,22/04/1987,26,31.8,28.6,78,0,4.8,2,3,0.8860435,0.8022109,0.5794227,0.2384143
Stasiun Meteorologi Perak I,96933,23/04/1987,27,33.2,29.5,74,0,8,3,4,0.7223337,0.7941546,0.6025838,0.1708294
Stasiun Meteorologi Perak I,96933,24/04/1987,24.3,33,29.5,76,0,8,3,5,0.8202162,0.8606948,0.5711418,0.1392831
Stasiun Meteorologi Perak I,96933,25/04/1987,24.9,33,28.2,76,0,7.5,3,4,1.042718,0.8645475,0.5417152,0.2916475
Stasiun Meteorologi Perak I,96933,26/04/1987,25,33.2,28.8,77,10.4,5.1,3,4,1.140416,0.7937977,0.4733605,0.5074166
Stasiun Meteorologi Perak I,96933,27/04/1987,25,33.2,28.3,76,0,7.4,2,3,1.197308,0.7097247,0.3536287,0.4148625
Stasiun Meteorologi Perak I,96933,28/04/1987,25.6,32.5,27.9,80,0,6.5,2,3,1.16802,0.7305375,0.3131761,0.3098812
Stasiun Meteorologi Perak I,96933,29/04/1987,26,33,28.6,78,0,7.7,3,7,1.138041,0.7772766,0.3481038,0.3584912
