Bulan,Years,Tanggal,Min of Suhu Minimum (°C),Max of Suhu Maksimum (°C),Average of Suhu Rata-rata (°C),Average of Kelembaban Rata-rata (%),Sum of Curah Hujan (mm),Average of Lama Penyinaran (jam),Average of Kecepatan Angin Rata-rata (knot),Average of Kecepatan Angin Terbesar (knot)
Jun-98,,Jun,22.9,34.2,29.06666667,77.3,108.8,5.706666667,2.033333333,8.5
Jul-98,,Jul,24.2,33.7,28.42903226,79.38709677,150.2,5.690322581,1.838709677,9.967741935
Aug-98,,Aug,23.3,34.3,29.14516129,68.06451613,7.9,7.461290323,2.258064516,10.06451613
Sep-98,,Sep,23.9,35.4,29.32,67.83333333,47.6,6.52,2.166666667,11.6
Oct-98,,Oct,24.2,34.9,29.56451613,73.70967742,147.3,4.906451613,1.741935484,10.19354839
Nov-98,,Nov,24,34.8,28.69333333,76.76666667,242.9,3.41,1.566666667,7.566666667
Dec-98,,Dec,23.3,35.1,28.81612903,73.70967742,390.3,3.874193548,1.64516129,9.677419355
Jan-99,1999,Jan,23.2,34.1,28.05483871,79.90322581,470.7,3.893548387,1.774193548,9.838709677
Feb-99,,Feb,23.2,35.1,28.32857143,77,226.2,4.510714286,2.142857143,11.60714286
Mar-99,,Mar,23.5,34.7,28.24193548,78.4516129,331.9,3.893548387,1.548387097,9.032258065
Apr-99,,Apr,24.1,34.4,28.86,77.36666667,219.9,4.506666667,1.366666667,8.9
May-99,,May,23.8,33.9,28.5516129,74.22580645,49.7,2.8,1.741935484,11.38709677
Jun-99,,Jun,23,33.8,28.43333333,69.66666667,1.5,7.413333333,2.066666667,10.2
Jul-99,,Jul,21,32.5,27.57741935,70.09677419,27.2,6.996774194,2.064516129,11.41935484
Aug-99,,Aug,21.3,33.7,27.98064516,65.25806452,0,7.748387097,2.516129032,11.25806452
Sep-99,,Sep,21.5,34.4,29.04333333,62.26666667,0,7.723333333,2.566666667,12.96666667
Oct-99,,Oct,23.8,35.9,29.60645161,67.03225806,101.4,5.803225806,1.967741935,10.64516129
Nov-99,,Nov,23.7,34.9,28.71666667,75.03333333,227.4,4.25,1.5,7.233333333
Dec-99,,Dec,24.1,34.9,28.60645161,77.12903226,396.4,3.612903226,1.774193548,8.290322581
Jan-00,2000,Jan,22.6,33.9,28.20967742,80.58064516,507.2,3.419354839,1.709677419,9.774193548
Feb-00,,Feb,23.8,33.8,28.31034483,80.48275862,225.3,3.2,1.862068966,9.448275862
Mar-00,,Mar,23.6,34.6,28.42580645,81.29032258,269.5,3.619354839,1.774193548,7
Apr-00,,Apr,24.2,34.2,29.02,80.03333333,218.4,4.37,1.433333333,8.1
May-00,,May,24.3,34.1,28.96129032,78.90322581,137.2,5.435483871,1.838709677,8.129032258
Jun-00,,Jun,22.4,33.3,27.93666667,76.2,96.6,6.193333333,1.866666667,9.3
Jul-00,,Jul,22.5,32.8,28.01290323,72.90322581,48.6,7.896774194,2.290322581,11.4516129
Aug-00,,Aug,22.1,34,28.20322581,69.87096774,2.5,7.667741935,2.193548387,11.48387097
Sep-00,,Sep,23.5,36.2,30.01666667,67.23333333,0,7.51,2.4,9.866666667
Oct-00,,Oct,23.2,36,29.79032258,72.48387097,194.7,7.677419355,1.870967742,8.580645161
Nov-00,,Nov,23.8,35.2,29.53666667,76.86666667,100.7,4.003333333,1.566666667,10.2
Dec-00,,Dec,23.6,35.8,29.79032258,72.83870968,173.7,4.848387097,1.548387097,10.58064516
1-Jan,2001,Jan,23.4,35,28.6483871,77.80645161,304.5,3.622580645,1.806451613,11.03225806
1-Feb,,Feb,23,34.6,28.22857143,77.03571429,315.4,4.042857143,2.071428571,11.53571429
1-Mar,,Mar,23.7,35,28.63870968,78.09677419,258.5,4.380645161,1.516129032,9.806451613
1-Apr,,Apr,23.5,35.3,29.1,77.86666667,149.3,4.69,1.633333333,8.766666667
1-May,,May,23,34.6,29.51935484,70.48387097,143.1,6.829032258,1.903225806,7.548387097
1-Jun,,Jun,22.6,33.6,28.48,74.5,139.3,6.013333333,1.7,10.63333333
1-Jul,,Jul,19.8,33.5,28.00645161,76.70967742,76.2,6.8,2.258064516,10.51612903
1-Aug,,Aug,21,33.5,28.17419355,71.67741935,0,7.716129032,2.225806452,10.16129032
1-Sep,,Sep,23.4,35.4,30.11,69.93333333,0,7.94,2.266666667,10.96666667
1-Oct,,Oct,23.5,35.9,29.92258065,70.41935484,177.5,5.958064516,1.580645161,10.51612903
1-Nov,,Nov,22.4,35.8,29.87666667,73.76666667,195.2,5.37,1.466666667,10.96666667
1-Dec,,Dec,22.3,35.1,28.80645161,75.22580645,403,4.180645161,1.580645161,7.258064516
2-Jan,2002,Jan,21.8,35,28.89677419,77.5483871,536.1,4.44516129,1.580645161,7.419354839
2-Feb,,Feb,21.6,34.5,28.38214286,78.10714286,314.7,4.146428571,1.928571429,10.96428571
2-Mar,,Mar,22.5,35.8,29.32258065,77.32258065,397.8,5.196774194,1.419354839,10.19354839
2-Apr,,Apr,22.3,35.7,29.39,76.13333333,214.8,5.446666667,1.733333333,9.633333333
2-May,,May,22.4,34.8,29.65483871,73.41935484,175.8,6.6,2.193548387,10.22580645
